,평점,일시,감상평
164,8,2015.03.11 22:48,성공을 향한 집착은 현실세계의 모든 사람이 앓고 있는 병은 아닌지... 그 병적인 집착을 놀라울 정도의 연기로 보여준 제이크질렌할
165,10,2015.03.03 09:34,청년 실업이 낳은 섬뜩한 소시오패스...제이크 질렌할 눈 부리부리하게 뜨고 살을 일부러 저렇게 뺐는지 볼은 홀쭉하게 패여갖고 지나치게 논리정연한 말을 속사포처럼 쏟아내는데 진짜 괴기스럽고 또라이같음ㅜㅜ연기 너무 잘해;; 
166,8,2015.03.01 23:47,회색도시의 하이에나 한마리가 죽은 뼈를 탐내며 질주한다.
167,9,2020.03.12 02:34,월하에 더욱 빛나는 광기(狂氣). 크레딧 후에 남은 질렌할의 안광이 월광같다
168,10,2020.03.05 00:11,주인공의 탐욕에 공감하는 못된 나를 반성합니다.
169,10,2020.02.29 23:20,"영화내내 제이크 질렌할의 광기어린 눈빛과 행동, 금방이라도 사건을 일으킬 것 같은 긴장감"
170,10,2020.02.18 23:53,일상속의 싸이코패스를 연기하는 질렌할의 눈알 연기가 일품. 카메라 구도를 위해 시체를 옮기는 장면과 업계 동료와 부하 직원의 모습까지 카메라 안에 담아버리는 장면이 이 영화의 정수.
171,9,2020.02.13 18:28,와. 진짜 재미있다....
172,10,2020.02.11 05:52,
173,8,2020.02.07 00:26,주연배우의 연기력과 캐릭터의 광적인 몰입이 보는내내 함께 몰입하게 된다.
174,10,2020.01.31 01:15,보는 내내 소름이 돋았다.
175,8,2020.01.27 15:55,영화 전반적으로 늦추지 않는 긴장감이 좋았다. 다만 단 한방이 없었던게 흠이라면 흠.
176,7,2020.01.27 01:20,제이크 질렌할의 (연기를 위해 체중을 감량했다고 한다) 수척한 얼굴 때문일까 영화 내내 희번덕거리는 그의 눈이 유난히 탐욕스러워 보였다.
177,10,2020.01.21 20:43,기대한 만큼 해준 영화
178,10,2019.12.19 12:22,
179,9,2019.11.13 09:51,제이크 질렌할 연기가 대단함. 채널 돌리다 우연히 봤다가 끝까지 다 봄
180,10,2019.11.10 13:34,진짜 우리 재이크의 인생연기. 이렇게 연기를 잘하다니. 조디악때도 잘했지만. 미스테리오를 잊게해주는 연기네요. 영화의 소재도 완성도도 완벽합니다.
181,8,2019.11.08 16:32,우리나라의 기레기가 이런 수준 까지는 망가지지 않기를..
182,8,2019.10.11 00:46,미필적 고의에 의한 특종 의도된 성공 무서운 장면도 터져나오는 광기도 없지만 무섭고 미친 것 같다
183,8,2019.10.02 20:29,사이코와 현대 미디어의 기묘한 이해관계의 일치.
184,10,2019.09.22 22:34,연기 소오오오름재미없을줄 알았는데 점점 빠져들어요
185,10,2019.09.18 04:46,오스카를 못탄게 너무 아쉬울뿐
186,7,2019.09.16 03:59,나쁜놈이 잘 되는 결말은 늘 내게 찜찜함을 안겨주네-_-
187,10,2019.07.31 02:01,연기 스토리 연출 모든게 완벽합니다 간만에 몰입감 엄청난 명작을 봤네요...
188,10,2019.07.30 03:56,간만에 영화다운 영화 봤다.
189,10,2019.07.23 19:42,갑자기 어디로 튈지모르는 진짜 또라이같은 연기 갑. 멕시코 식당에서의 연기 마지막 하이라이트 연기. 역시 제이크 질렌할ㅋㅋ 재밌게봤음
190,10,2019.06.29 23:35,재밌고 여운이 많이 남습니다
191,8,2019.06.24 09:20,손에 땀을 쥐는 몰입감 뒤 밀려오는 혼란스러움
192,9,2019.04.08 00:47,영화 한 편에 영화 한 편을 더 담았다.
193,10,2019.01.06 13:45,이런 명작을 네이버 jot문가들은 몰라보지
194,10,2018.12.17 23:01,이 영화에 나오는 이야기가 너무 비현실적인것 같으면서도 실제로 일어날것 같아 더 소름끼친다..
195,8,2018.11.05 22:51,만들어진억지스러운공포영화보다 스토리있는소름끼치게 만드는영화
196,8,2018.11.04 01:59,ㅋㅋㅋ쏘시오패스 장그래..딱이다이야기 잘빠졌네
197,8,2018.10.28 15:24,감독 한국인이냐? 한국 중소기업의 현실을 제대로 보여주네 불쌍한 부사장님ㅋ
198,10,2018.08.14 02:21,귀신안나오는데 무섭고 쫄려서 멈췄다 다시보고를 반복ㅋㅋㅋㅋ소시오패스 조심하고싶어지는 영화
199,10,2018.08.07 01:31,진심 리얼 싸이코패스..
200,10,2018.07.12 00:36,최소 8.5점은 받아야 한다
201,10,2018.06.28 03:10,굉장히 굉장히 잔혹하다. 그래도 돈은 벌고싶다
202,9,2018.06.18 05:22,소름끼치는 연기와 스토리
203,10,2018.05.24 13:52,이영화에서 제이크질렌할에 푹 빠졌다 열라 섹시하다 존재자체가 감사하다
204,9,2018.05.13 10:01,제이크 질렌할 연기 보고 있으면 너무 재밌어서 웃음이 나옴
205,10,2018.04.27 02:00,연기 진짜 지린다....
206,9,2018.04.24 14:19,상징성과 현실감 둘 다 잘 살린 주인공  캐릭터에 감탄하면서 감상
207,10,2018.04.05 13:14,제이크 진짜 소름돋게 무섭다.. 성공의 미친 열망 광기가 너무나 무서웠던 영화 아주굿
208,7,2018.03.28 22:23,제이크 질렌할 연기는 최고!  전개와 음악이 아쉽다..
209,7,2018.03.19 18:09,"진짜 또라이라는 말이 절로 나오는 연기, 영화."
210,10,2018.03.09 10:33,"최고의 각본, 최고의 연기"
211,10,2018.02.28 00:54,케케묵은 권선징악에 집착하는 한국영화였다면 저렇게 못끝냈을거다
212,8,2018.02.24 01:25,굿잡.지루할 틈이 별로 없다
213,8,2018.01.24 02:26,제정신 아닌 세상에 제정신 아닌 사람들이판치는 것이 그다지 제정신 아닌 건긴
